"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"AN26/P40.2","V2","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN27/P40.3","V1","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN28/P40.13","U2","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN29/P40.14","U1","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN32/P40.4","P4","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN33/P40.5","R1","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN36/P40.6","N4","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN37/P40.7","P2","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN38/P40.8","N5","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN39/P40.9","P1","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"DAPE0","K14","","","","","","","","FAST","VEXT","PD2"
"DAPE1","G11","","","","","","","","FAST","VEXT","PD2"
"DAPE2","G10","","","","","","","","FAST","VEXT","PD2"
"NC1","A1","","","","","","","","","",""
"NC1","Y1","","","","","","","","","",""
"NC1","U4","","","","","","","","","",""
"P00.0","G1","CAN1_NODE0_TXD","CAN1_NODE0_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P00.1","G2","CAN1_NODE0_RXD","CAN1_NODE0_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEXT","PU1"
"P00.2","H1","CAN2_NODE1_TXD","CAN2_NODE1_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEXT","PU1"
"P00.3","H2","CAN2_NODE1_RXD","CAN2_NODE1_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEXT","PU1"
"P00.4","J1","ASCLIN10_RXD","ASCLIN10_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEXT","PU1"
"P00.5","J2","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEXT","PU1"
"P00.6","J4","ASCLIN5_RXD","ASCLIN5_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEXT","PU1"
"P00.7","K1","ASCLIN5_TXD","ASCLIN5_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEXT","PU1"
"P00.8","K4","ASCLIN10_TXD","ASCLIN10_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEXT","PU1"
